pdf_file,page_number,image_file,classification,ocr_engine,extracted_text,extracted_char_count,confidence_estimate,review_required,reason,notes
65_hs1-834228961_62-hq-83894_section_10,11,page_0011.png,newspaper_or_print_clipping,tesseract-5.5.2,"seeree cay, 7 Ss b |

% a D | ; i A 4 f IFO SIGHTED BY
% } LEWISTON PEOPLE
ALS | rh , ne ae Pony tks""

] wi

""SI { Western Outario’s Foremost Newspaper owiston by family ‘of lt
1 SCewision police said Patricia’
fie UFO. at about xt st
118th YEAR OF PUBLICATION LONDON, ONTARIO, TUESDAY, MARCH 29, 1966—36 PAGES eT | PRO at about 9:17"".
dad ae According to police, _ the|
Landry ‘woman and’ seven other
persons spotted the object which |
was described as bright blue}

and gray in color, oval in shape.

It was sfid the UFO hovered
for a few seconds and then|
“took off” at a high rate of]
‘speed in an easterly direction,
[eo

UFOs Sighted Over Wide Section of District

‘An unidentified flying ob- Woodstock. ‘The mysterious some were travelling slowly jet planes carrying the usual is far more advanced than Ontario sightings came from . Thorndale, a mother and her

Ject ws tracked briefly on objects came in a variety of with Intermittent bursts of red and green running lights anything we have and is con- London and Sarnia. two children saw a white light,

radar by a US. Air Force forms, according to their ob- speed. and leaving white vapor trolled by Mrs. J. Fielding, of 1025 Ox- “auite high in the sky, that

base in Michigan ‘iast night, servers. ‘A spokesman at the US. trails tion,” he tol ford St. E, London, reported seemed to be blinking:

and a multitute of new sight. ‘There was an orange one at Air Force base in Selfridge, Maj. Donald E. Keyhoe, the ence. Be eres ein te. Wee oe aonee OC,

ings were reported by Western Sarnia. And another giving off Mich, sald one was tracked Marine officer who advanced “These things are real and eae, 8 rte light ip the | Ors. 2 Haynes, of in; frwoman reported the

Ontario residents. Fed, white and blue flashes. briefly on radar, but “could the outer-spaceapy-in-the-sky under Intelligent control” he Eerutrorg at j26 woe Mt’ we watched it for. 10 | Object hovered over Hutton
A retired U.S. Marine Corps ‘There was a red one in Lon- not sa…[truncated]",18873,74.8,true,"confidence 74.8/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,12,page_0012.png,newspaper_or_print_clipping,tesseract-5.5.2,"Would You Believe—‘Saucer’ Visits Wichita? :Obiectt Imm». ssionse AFSCA CONVENTION SPEAKERS

Deocon Sat Wier eet aire Spin ce fa Eeruty ing pee coon nat welts ‘Sky Near ipl Pl ft WAYNE S. AHO; The New Age Foundation, Inc. ; 11, JOHANNES ''HANNO"" MAYBERRY;
Aa thyarald Weta by hs ned MOEN CONTACTED a, te me, han te easter. eve a semen set"" adhe was ot amie ines dale | anet Pluto 8 Smith St.; Seattle, Wash. 98109. Unified Research Center, Inc.3

it somebody was in one... that they
scattered into the driveway would be friendly.

Pept peat lineata day Jey came resng tp br they a hae Soper cee ey became Sat oe eree noticed hoped if Gay eves cane beck ee Re. S S n Publish: ''The Aquarian Dawn!"" (Donation basis). P.O. Box 764; Selma, Oregon 97538.
Shey prs vl Wat erty Pay apng SS oa “epee ob Sancer? Report aucers ee ' CARL A. ANDERSON; 12. HOWARD MENGER;

Sarma meng me wre wth ad ot renin fag é meanest! Talked With? 2522 &. Pearson Ave.; Fullerton, Calif. 202 Schumann Drive; Sebastian, Florida 32958.
Soo aes Siar es ae 7 SSE SS | ser Ph NONI as ut ORFEO ANGELUCCH 13. LAURA MUNDO; The Interplanetary Center;

Here s the story the way he told it: pulling into the driveway, but then the z ; id ae Doug morte 3,” a9 4, |'Séveral pertugsiainy have tens couersd' by mesacn:| 4160 Verdugo Road; Los Angeles, Calif. 90065. 27359 Cranford Lane; Dearborn Heights, Mich.

humming noise started

“Thad been upstairs to my mother's a r : . a lpers ace will be available Wednesday f fiptadl A A re ay, io

room and Gen Thenrd this fuoay nse, _,2Shtty sud be dn, know abou! the :.— 7a } ee A : 7 hey were alg noth othe Bo ious at GOOD Saneet blvar"" the “several at tn MICHAEL ""X'""' BARTON; Futura Press; 48127. Publish: 'The Interplanetary News"" (Free).
“Wt went mmmmmmm—like a flying Until after he told a neighbor about his ; . es ‘about 9 p.m. In the vicinity of jheadquarters of World Harmony, Inc., turned out to be: 5949 Gregory Ave.; Hollywood, Calif. 90038. 14. MEL NOEL;

epi 7 seated. ms acts bl…[truncated]",17505,57.0,true,"medium confidence (57.0/100), review recommended for mixed pages",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,13,page_0013.png,newspaper_or_print_clipping,tesseract-5.5.2,"THE WALL STREET JOURNAL The spokesman quickly adds: “We have nei- - =
2 Monday, December 13, 1965 ther received nor discovered any evidence that Troon, Ontario Free Hong Kong China Mail

COC | | proves the existence of parece Lantana? fe t “ine h in
New ‘Fireball’ Raises Sect cet of Se cea lg atc
1 L estion: Do in our atmosphere.” And he states: ‘No i ‘ 2 i
iste fa see oe || |eteemtiamratGtasess| Disc-Like Object Hovers,, Rises saucers
a a ""|| (SSthe™ ais sorce's approach alsturbs some! For Two Hours East of Kettle Point mystery ly

. : people, however. ‘The Air Force should admit meine aS I Ree aa
Californian, Who “Talks’ to Men || | there are natural phenomena taking place un-| BY JIM geerrap ia Seo. oe 573-66)
¥ *, der our noses of which we know nothing,” says} Free Press Sarnia Bureau saturday night as far north
From the Stars, Says ‘Yes’; || |r a. uevitt, director of Fels Planetarium at the] SARNIA — A revolving ob- as the tip of the “Thumb” in EOPLE in North Queens-
Scientists Assail Air ‘Force Franklin Institute in Philadelphia. He adds:| ject, sighted in the sky east Lake Huron. land are mystified by

“The Air Force is trying to explain something| o¢ Kettle Point last night, was 2 ‘ KA
that isn’t susceptible to explanation.” watched for more than two , O04 lights_were, reported in three separate reports

It
By ELuior CARLSON Robert Risser, director of the Oklahoma Sel-| hours by about 100 persons. {he SEY ene Oakland County | ‘Flying Saucers.
Staff Reporter of THe WALL STREET JOURNAL ence and Art Foundation planetarium at Okla-|  yawrence Bressette, who Op- area, Others were reported The first report came from a

‘They'se back. The latest was sighted a few| | homa City, believes “‘the Air Force must have| g.stes a otore on the Kettle Otherivess,. Feattes | ee ace sage

nights ago by residents and pllots im the north-| |had its star‘finder upside down during Aug-| Post’ indian Reserve, said “OS™ ia Pettey who while driving &
ust,""” when several reparts of fly…[truncated]",13242,76.2,true,"confidence 76.2/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,14,page_0014.png,newspaper_or_print_clipping,tesseract-5.5.2,". 2 SOUTH AFRICAN POLICEMEN 1
World Flying Saucer | REPORT SIGHTING OF sauce’ || tll be Long Before ee ON ATE

Believers Convene oumaane it i Tein nacional] Saucer” Is Forgotten dma ine

ca—South “African police and they approached the object, it THE HERALD-NEW:

MINNEAPOLIS TRIBUNE { scientists investigated Thursday too By PETER A. DVA! ‘AS jmystery which has yet to be
N « a } off silently at great speed y ER A. RACKAS te 93rd YEAR, NO. 84 <i> B FRIDAY, MARCH 25, 1966 og DAILY, $2.
lew York Times Service They accept spacecraft as a|} a report that a flying saucer- 115 flames shooting out of its Herald-News Sports Writer |solved. : :

LOS ANGELES, Calif, —|fact of lite Their Interest is type object had landed on & tidersiga, Many months will pass before] “Listen . . , this sounds crazy,
The “urgent problem” of|im contacting spacemen di- main highway near Pretoria, the the impact of the strange flying|pbut I saw something in the sky.

e
improving communications| ""ectly or through telepathy.” || country's administrative capital. Scientists who examined the. objects which _fiominated | the|Do you know what it is?” This
with the thousands of visitors|_ G Shc HAG tad : ang police officers Spot Where the officers said that ‘orth Jersey skies this weeklwas the question posed to the
from outer space who sup-|for president as a “‘space age ted eeine, Pace tiers they saw the object are reported oo police at the North Jersey police

‘ reported ing th ig ‘ "" - v
posedly are circling the earth|candidate,” says he cannot|! ‘“esucer,” about 30 aa to have found that a six-foot The bright white disk that/radio hook-up in Pompton Lakes.

rl ic cant - streaked across three counties|The calls came in from Wana-
was afforded, solemn delib-|practice telepathy but insists|} ameter, shortly after midnight. Wide, seein. of Tunilaises rood. and hovered periodically over|que, Ringwood, West Milford,
eration here this weekend at/he has met spacemen on at }, One of them, Koos de Klerk, ye the W…[truncated]",17169,63.6,true,"confidence 63.6/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,15,page_0015.png,newspaper_or_print_clipping,tesseract-5.5.2,"oeaeed ee y <:.Civil Defense Director

DETROIT, MICHIGAN

Who's in All — 2 | ha Report”

Those Saucers? ; a 4. eee Wa f C h es F lyi Nn g S qucer

: a Northwest’ Precinct police
“Packing between my ball and the green—T'd hardly GABRIEL co Schaefer one, and Palmer
By Harold Scarlett call THAT intelligent life from another planet.” ‘On Monday, 7:20 p.m, sev-

career x Uncle Martin. on ‘My Favorite — enteen year old Mike Woods,

Was Jesus Christ a Martian? artian.” 8418 Fuast, states that he saw
ett nd {3 my"" maid Cabrio! Green said he had never seen one % very high object with white

‘teen. thoughtfully. Then he added of the unearthlings beside his space s
that it certainly seems plausible. ship. Then how could he be sure they {he southwest, in the. Faust- GOLDEN GATE wall METRO

It’s no trick at all to walk on water weren't a hoax — practical - joking Vaz Buren Avenue area.

= an him on? > 17, dis

or ascend to the heavens if you have a earthlings just putting ? Grescrtes tel tis enaeitaee: 3 FINAL
Martian levitation belt around your “Oh, I wouldn't believe just anyone Robert Syallneo, 15, 19743 Handicap---Results
waist and an anti-gravity beam to who walked up to me and said he waS Greenview, obsetvedan object
ride, Green explained. > from Mars,” Green replied. over Crunk’s home at about

etre ie, begs Martians “But if you get a call from the White &:20 pum. | Crunk sald. that ‘
now visiting earth gn flying saucers House and were told President Eisen- the UF( camie from the west, :
are trying to save the earth's people hower would meet you at a certain  stoppegdur a moment andi 93rd YEAR, NO. 81 <> TUESDAY, MARCH 22, 1966 10¢ DAILY, $2.25 .A MONTH
from their own follies — just as the time on the corner of Hollywood and Was jast seen Golfig cast, wr
Savior was. Vine, and you went there, and a man lights changing fram the coi .

Green can speak with some au- there who looked like the President  ""@d to green and then ambe mean Binghamton, N. Y., October 24, 1965 'THE S…[truncated]",31219,69.2,true,"confidence 69.2/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,16,page_0016.png,newspaper_or_print_clipping,tesseract-5.5.2,"FLYING SAUCERS ARE REAL!

AMALGAMATED FLYIN",43,92.7,true,"confidence 92.7/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,18,page_0018.png,mixed_annotation,tesseract-5.5.2,"OWTIONAL FORM NO. 10 5010-106
MAY 1962 EDITION

GSA GEN. REG. NO. 27
UNITED state@overnment

Memorandum

DIRECTOR, FBI : 10/3/66

a ; SAC, LOS ANGELES (100-24)}0-40/),

SUBJECT: FLYING SAUCERS INTERNATIONAL,
OFFICIAL JOURNAL OF THE
AMALGAMATED FLYING SAUCER
CLUBS OF AMERICA, INC.
IS - MISCELLANEOUS

The Philadelphia Division by letter dated 9/22/66, ...,
furnished the Los Angeles Division with Issue No. 24 datea @’""°""°
July, 1966, enti tied FLTING SAUCERS INTERNATIONAL"", which is
the official journal’ of tie Amalgamated Flying Saucer Clubs
of America, Inc. The Philadelphia Division received the
magazine from Mr. JARVIS He&COOPER, IRS, 401 North Broad Street,
Philadelphia, Pennsylvania on 9/19/66. Mr. COOPER stated he
subscribed to the magazine because his son had exhibited an
interest in flying saucers and outer space. He said that on
pages 2 and 3 of Issue No. 24 was an article which he believed
expounded the Communist Party (CP) line.

For the pe pense of the Bureau, the International
Headquarters of the<Amalgamated Flying Saucer Clubs of America,
Inc, ‘is located at\ 2004 North Hoover Street, Los Angeles,
California. The article, on pages 2 and 3, were allegedly Y~
written by Master KALEN-LI RETAN, Head of the pl KORENDOR,
which was received on 5/4/66 by special directional short-wave
radio by BOB /RENAUD.
U.or

The indiees of the Los Angeles Division contain no
information identifiable with RENAUD, and no investigation has
ever been conducted on captioned organization. poorc6. wip mae a

No further action is peer in this matter
by the Los Angeles Office, UACB. ‘y' REC-g

The foregoing is furnished to the Bureau for
information. 2
é, SLOSYRE
2 - Bureau ( (V6 =I
1 - Los Angeles
JST: gcw
(3)

pL 0cl Ea",1732,84.6,true,"confidence 84.6/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,19,page_0019.png,mixed_annotation,tesseract-5.5.2,"NAVAL IAS ~ ,J36

AIQ VISLNE west

},32¥",40,30.9,true,"low confidence (30.9/100), may contain noise or degraded scan",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,20,page_0020.png,mixed_annotation,tesseract-5.5.2,")
Qe’

& r
2-3 LIFE — 450

CA-i13

October 17, 1966

Mr. Paul L, Wright
1$31 Lucile Avenue, Southwest
Atlanta, Georgia 30310

Dear Mr. Wright:
Your letter of October 9th has been received.

With respect to your inquiry, matters pertaining to
sightings of Unidentified Flying Objects or‘Flying Saucers are not
within the jurisdiction of the FBI.

Inasmuch as your communication is of interest to
another governmental agency, I am referring a copy of it to the
Director of Special Investigations, The Inspector General, De-
Air Force, Washington, D. C. 20333.

Dili

OCT 17 1966 Sincerely yours,

COMM-FB} J. Edgar Hoover
OP rae ee |

NOTE: We have had one outgoing to correspondent dated 3/10/66 in
response to his letter regarding the TV program, ""The FBI,"""" A
copy of his letter is being sent by form to the Department of the Air
Force.

DFC:rlf (3) ,",852,86.5,true,"confidence 86.5/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,21,page_0021.png,mixed_annotation,tesseract-5.5.2,,0,95.0,true,"confidence 95.0/100, extraction likely reliable","psm=3 lang=eng; very short extraction (0 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,22,page_0022.png,mixed_annotation,tesseract-5.5.2,"€ phlice
serious
ridiculed
g,along with

I"" see
Air Force
is so",63,84.5,true,"confidence 84.5/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,23,page_0023.png,typed_text,tesseract-5.5.2,,0,95.0,true,"confidence 95.0/100, extraction likely reliable","psm=3 lang=eng; very short extraction (0 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,24,page_0024.png,typed_text,tesseract-5.5.2,12 OCT 20 1966,14,95.2,true,"confidence 95.2/100, extraction likely reliable","psm=3 lang=eng; very short extraction (14 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,25,page_0025.png,mixed_annotation,tesseract-5.5.2,"OPTIONAL FORM NO. 10 |
so1o-1yt

_ “UNITED STATES GOM@KNMENT é}

Memorandum

DIRECTOR, FBI fica. 10/19/66

TDites, 2
ether SAC, SAN FRANCISCO ie 2

hh

O oiss= =
SUBJECT: UNIDENTIFIED FLYING/OBJECTS
TS) ——

Re Bureau Bulletins No. 57 dated 10/1/47, and No.
38 dated 3/25/49, entitled ""FLYING DISCS. ~

Enclosed are copies of an article entitled ""Armed
Forces - Focus on UFO"", which was published in the This World
supplement of the San Francisco Examiner & Chronicle, Sunday,
October 16, 1966.

This article deals with the current controversy over
the existence or nonexistence of flying saucers or Unidentified
Flying Objects (UFOs), and quotes Michigan's Congressional
Representative GERALD FORD ~ suggesting that Con; gress look
into UFOs; also it announces that the Air Force, which is
charged with investigating UFOs, has commissioned the Univer-

months, at an estimated cost of $300,@00

sity of Colorado and Pavelce -Figine oa EDWARD ’ _to
conduct an in-depth study of flyi ng 4005 [ Te

MIVERS LY ¢ .
The article also points out that since Tast summer th
pressure has been mounting for the es aries of an inde- i
pendent, civilian controlled investigative agency to look into [iid
the UFO problem,

Also, for the Bureau's information, there was re-
cently published (first printing June 1966) a book entitled
""Flying Saucers - Serious Business"", Lyle Stuart, Inc.,
publishers, authored by Frank Edwards, This book is now in
its third edition and is available in paperback, published
by Bantam Books, and it is probably a contributing factor to
the current controversy;

In this book author’ Edwards points out that flying
saucers were observed in thé) spring of 1946, in Scandinavia
and Russia (which he points’out is about a year from the date

\\ of the testing of the a atomic bomb), and the book

Denver Bnel. “1)
1 - San Francisco
DET: 1ms ooo) 3 OCT-21 1966

5

(5) a EX-114 rey
5",1895,83.6,true,"confidence 83.6/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,26,page_0026.png,mixed_annotation,tesseract-5.5.2,"“Aig TIBLNE ROE
0.334",21,41.8,true,"medium confidence (41.8/100), review recommended for mixed pages","psm=3 lang=eng; very short extraction (21 chars), possible blank or image-only page"
