article_id,pdf_file_name,source_url,pdf_sha256,status,note_url,draft_path,published_path,created_date,published_date,remarks
#011,dow-uap-d28-mission-report-east-china-sea-2024.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d28-mission-report-east-china-sea-2024.pdf,e12c00b3e2d64e35eef5623499e6eb23b1bc21d304523c75d28d3f474d91d77e,published,unknown,published_articles/ai_summary_011_d28_armed_overwatch_iraq_note_version.md,published_articles/ai_summary_011_d28_armed_overwatch_iraq_note_version.md,2026-05-12,2026-05-12,ファイル名east-china-seaだが実際はイラク
#012,dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf,c5cfbc8bacca29db64346aaa03846a6e36eab01ac09e1e93d8d50028593cf3f9,published,unknown,published_articles/ai_summary_012_d44_arabian_sea_oct2020_note_version.md,published_articles/ai_summary_012_d44_arabian_sea_oct2020_note_version.md,2026-05-12,2026-05-12,
#013,dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,2565433b0ac938d6123c611be75b30ec6cf99c192e71dbf4ef53c40a6852ca00,published,unknown,published_articles/ai_summary_013_d57_gulf_of_aden_sep2020_note_version.md,published_articles/ai_summary_013_d57_gulf_of_aden_sep2020_note_version.md,2026-05-12,2026-05-12,
#014,dow-uap-d20-mission-report-southern-united-states-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-southern-united-states-2023.pdf,71ca8826db94d61583083ef8465a6902564532dcab7d49d0d2db3e86aaf85b2f,published,unknown,published_articles/ai_summary_014_d20_f16_middle_east_note_version.md,published_articles/ai_summary_014_d20_f16_middle_east_note_version.md,2026-05-12,2026-05-12,ファイル名southern-united-statesだが実際は中東
#015,dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,10c11e9bf4d6686159da48e3d9388e7d3afe4ae8b1e79725ec6c63ccc491e537,published,unknown,published_articles/ai_summary_015_d50_indopacom_email_note_version.md,published_articles/ai_summary_015_d50_indopacom_email_note_version.md,2026-05-12,2026-05-12,
#016,dow-uap-d6-mission-report-arabian-gulf-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf,0f898352417d0447b3720c6eda131ac0cbe7e4cf90b8d1ceab60a431fa835457,published,https://note.com/deft_ibis3303/n/n267aa9e43143,published_articles/ai_summary_016_d6_arabian_gulf_2020_note_version.md,published_articles/ai_summary_016_d6_arabian_gulf_2020_note_version.md,2026-05-12,2026-05-12,
#017,dow-uap-d42-range-fouler-debrief-japan-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d42-range-fouler-debrief-japan-2023.pdf,d52431b354af55b1e86cb454e61fd61993af3b023a38f2d9e014a9c9d18d16b4,hold,,note_drafts/ai_summary_017_d42_range_fouler_japan_note_version.md,,2026-05-12,,保留中。OCR文字化け多数・ファイル名と発生場所の乖離
#018,dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,c2bd370cdadc2f17649830713d55731aa22ceb76940fd64ae7ffc86fc0559261,published,https://note.com/deft_ibis3303/n/n9c1a2459694f,published_articles/ai_summary_018_d58_range_fouler_na_oct2020_note_version.md,published_articles/ai_summary_018_d58_range_fouler_na_oct2020_note_version.md,2026-05-12,2026-05-12,
#019,dow-uap-d4-mission-report-arabian-gulf-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d4-mission-report-arabian-gulf-2020.pdf,857deb5a9363aad6e7604c828574d1f44caa0128b3ee0cb5a69204cbcd95d269,published,https://note.com/deft_ibis3303/n/nd705d6119670,published_articles/ai_summary_019_d4_arabian_gulf_2020_note_version.md,published_articles/ai_summary_019_d4_arabian_gulf_2020_note_version.md,2026-05-12,2026-05-12,
#020,dow-uap-d25-mission-report-greece-january-2024.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf,bd5478d2e420f6ff46fb06014e39027e1caa415f55efdc9bd70a849ff6990356,published,https://note.com/deft_ibis3303/n/na3cf23f3cf06,published_articles/ai_summary_020_d25_mediterranean_greece_2024_note_version.md,published_articles/ai_summary_020_d25_mediterranean_greece_2024_note_version.md,2026-05-12,2026-05-12,
#021,dow-uap-d3-mission-report-arabian-gulf-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf,58219b8000454aa27424ead9530bf80420365a587b95d4c770a5dce916783b45,published,https://note.com/deft_ibis3303/n/na6119fe94348,published_articles/ai_summary_021_d3_arabian_gulf_2020_note_version.md,published_articles/ai_summary_021_d3_arabian_gulf_2020_note_version.md,2026-05-12,2026-05-12,
#022,dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,39126406547c89dbc81112c5638612858fcfe7e38179dd89e6d725dc6cee13b1,published,https://note.com/deft_ibis3303/n/n66824c3adede,published_articles/ai_summary_022_d60_persian_gulf_aug2020_note_version.md,published_articles/ai_summary_022_d60_persian_gulf_aug2020_note_version.md,2026-05-12,2026-05-12,OCR不可・画像のみ
#023,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,f21f4ae91e51810bfa8a6fce6c422f2bbf99c6277871846c642f987954c042f6,published,https://note.com/deft_ibis3303/n/n84094afa1a51,published_articles/ai_summary_023_d51_pacific_email_2023_note_version.md,published_articles/ai_summary_023_d51_pacific_email_2023_note_version.md,2026-05-12,2026-05-12,
#024,dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,https://www.war.gov/medialink/ufo/release_1/dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,74032ed145b1badbb1049005b4b77ba95351cb573c3cf6578a77ca25f4033220,published,https://note.com/deft_ibis3303/n/n9dc6f10e4146,published_articles/ai_summary_024_dos_d1_papua_new_guinea_1985_note_version.md,published_articles/ai_summary_024_dos_d1_papua_new_guinea_1985_note_version.md,2026-05-12,2026-05-12,
#025,dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,672b79390fe6595828c71e1f3df8cb0a2290f0658c36ed724e17ea167233b771,published,https://note.com/deft_ibis3303/n/n381bc0b8487a,published_articles/ai_summary_025_d75_gulf_of_aden_2024_note_version.md,published_articles/ai_summary_025_d75_gulf_of_aden_2024_note_version.md,2026-05-12,2026-05-12,
#026,dow-uap-d7-mission-report-arabian-gulf-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf,c4cae44b6ac7b4f4916ddff140d47b1e2a6ddc80ed72985877c07401d17fd76a,published,https://note.com/deft_ibis3303/n/n1bd8fd18b12e,published_articles/ai_summary_026_d7_arabian_gulf_note_version.md,published_articles/ai_summary_026_d7_arabian_gulf_note_version.md,2026-05-12,2026-05-12,
#027,dow-uap-d5-mission-report-arabian-gulf-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d5-mission-report-arabian-gulf-2020.pdf,af150a6b5139abc632446c9d5999fd5abc4f3c476c6245f173faabb6e2132d10,published,https://note.com/deft_ibis3303/n/nf990eb4258d7,published_articles/ai_summary_027_d5_arabian_gulf_note_version.md,published_articles/ai_summary_027_d5_arabian_gulf_note_version.md,2026-05-12,2026-05-12,
#028,dow-uap-d10-mission-report-middle-east-may-2022.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf,f9deed9063306b0c45a5a0f6b754db6967f7dc3a0ed66097f154be4b0f033399,published,https://note.com/deft_ibis3303/n/n7dbc29ccede7,published_articles/ai_summary_028_d10_iraq_may2022_note_version.md,published_articles/ai_summary_028_d10_iraq_may2022_note_version.md,2026-05-12,2026-05-12,
#029,dow-uap-d55-mission-report-syria-november-2016.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,f5885b95b57a81c08f0595c02950a07c250db050562520c52fb74f2195787166,published,https://note.com/deft_ibis3303/n/nc48565388654,published_articles/ai_summary_029_d55_syria_2016_note_version.md,published_articles/ai_summary_029_d55_syria_2016_note_version.md,2026-05-12,2026-05-12,hallucination修正後公開
#030,dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,4ce20fc566edf4a3dcb8a8abd7a5dcd91046069f9e35f83912ad757c8c8be1b9,published,https://note.com/deft_ibis3303/n/n8a957409ec0b,published_articles/ai_summary_030_d61_persian_gulf_aug2020_note_version.md,published_articles/ai_summary_030_d61_persian_gulf_aug2020_note_version.md,2026-05-12,2026-05-12,review_standard_v1適用第1号
#031,dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,36708d3c6121b00c55394ac4a648fbcbe5411c8b2c00ea8f42f9ca0e502c6b13,published,https://note.com/deft_ibis3303/n/n7b7855544c81,published_articles/ai_summary_031_d62_hormuz_sep2020_note_version.md,published_articles/ai_summary_031_d62_hormuz_sep2020_note_version.md,2026-05-12,2026-05-12,
#032,dow-uap-d33-mission-report-greece-october-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf,7078d96f334dbf396e0e0a141f943009fe2191cd20842e16ee381bcbc2776c43,published,https://note.com/deft_ibis3303/n/nb7df16627a21,published_articles/ai_summary_032_d33_greece_oct2023_note_version.md,published_articles/ai_summary_032_d33_greece_oct2023_note_version.md,2026-05-12,2026-05-12,Phase2概念補足追加基準適用第1号
#033,dow-uap-d74-mission-report-syria-november-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d74-mission-report-syria-november-2023.pdf,30708df4aa8484c668d3c3694560f5b57d5a10b6b3da1cfb826a925d9cc806e1,published,https://note.com/deft_ibis3303/n/na47a4f90eb7c,published_articles/ai_summary_033_d74_syria_nov2023_note_version.md,published_articles/ai_summary_033_d74_syria_nov2023_note_version.md,2026-05-12,2026-05-12,
#034,dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,https://www.war.gov/medialink/ufo/release_1/dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,64847feac6a309a847a39689ed2036e556f35a253189c7b9b33bd9d40b26b239,published,https://note.com/deft_ibis3303/n/nfdcc2ed34a65,published_articles/ai_summary_034_dos_d2_kazakhstan_1994_note_version.md,published_articles/ai_summary_034_dos_d2_kazakhstan_1994_note_version.md,2026-05-12,2026-05-13,
#035,dow-uap-d8-mission-report-djibouti-2025.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf,0a8548a845c3b45f90ee512bdfd8eac1af073072228e7e4d24e779d12025886c,published,https://note.com/deft_ibis3303/n/nd9ad6ba36588,published_articles/ai_summary_035_d8_djibouti_2025_note_version.md,published_articles/ai_summary_035_d8_djibouti_2025_note_version.md,2026-05-12,2026-05-13,
#036,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,9127fb5a81efacf030df4dc6290d02bcdf4c8512cf1809b6eccfe6cf16a77f31,withdrawn_duplicate,https://note.com/deft_ibis3303/n/na96bd813a8e5,archive_drafts/ai_summary_036_d56_arabian_sea_aug2020_WITHDRAWN.md,,2026-05-13,2026-05-13,#009と同一PDFのため公開後すぐ下書き化。#036番号は別PDFで再利用予定。旧ドラフトはarchive_drafts/へ移動。
#036b,dow-uap-d16-mission-report-syria-july-2022.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf,b3b3f023d70bcce3178de9fe6a019ea6db5e5145bc7e28a49308442e190ef817,published,https://note.com/deft_ibis3303/n/na96bd813a8e5,note_drafts/ai_summary_036_d16_syria_july2022_note_version.md,,2026-05-13,2026-05-13,#036番号をd16で再利用。旧d56 URL(na96bd813a8e5)にて内容更新・再公開。番号コード類説明基準初適用。
#037,dow-uap-d12-mission-report-iraq-may-2022.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf,,published,https://note.com/deft_ibis3303/n/n3a346ed04d41,note_drafts/ai_summary_037_d12_iraq_may2022_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS。196 ATKS・INHERENT RESOLVE・UAP北北東飛行・スクリーナー正体確認不可。
#038,dow-uap-d14-mission-report-iraq-may-2022.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf,,published,https://note.com/deft_ibis3303/n/nefe8f64c0afe,note_drafts/ai_summary_038_d14_eastern_med_may2022_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS(FL修正済)。ファイル名iraqだが任務区域は東地中海・USEUCOM管轄。SU-30接近事案含む。
#039,dow-uap-d18-mission-report-iraq-december-2022.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf,,published,https://note.com/deft_ibis3303/n/n24c91a250892,note_drafts/ai_summary_039_d18_iraq_dec2022_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS(FL修正済)。482 ATKS・INHERENT RESOLVE・POSSIBLE UAP/UAV 西→東。
#040,dow-uap-d19-mission-report-syria-february-21-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf,,published,https://note.com/deft_ibis3303/n/ncaa3b92e2aa0,note_drafts/ai_summary_040_d19_syria_feb2023_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS(FL修正済)。F-15E 2機編隊・3X POSS UAP・レーダー妨害(JSIR 340377)・シャッダーディー。
#041,dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,,draft,,note_drafts/ai_summary_041_d23_uae_oct2023_note_version.md,,2026-05-13,,Phase1 PASS(FL修正済)。アル・ダフラ(OMAM)・SPARTAN SHIELD・2回観測・THERMAL SHOWED COLD。MDR 25-0104。
#042,dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,,published,https://note.com/deft_ibis3303/n/n5ec4b3b3be57,note_drafts/ai_summary_042_d27_uae_oct2023_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS(Al Dhafra英語括弧修正済)。SECRET//NOFORN・GLOWING HOT SPHERICAL・140KTS・ENDURING SENTINEL。
#043,"dow-uap-d32-mission-report,-syria-october-2024.pdf","https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf",,published,https://note.com/deft_ibis3303/n/n4e64313a1030,note_drafts/ai_summary_043_d32_syria_oct2024_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS。FMVカメラへの閃光・Plasma状UAP・Benign・not a lasing event。ファイル名にカンマ含む(CSVフィールドをクォート済み)。
#044,dow-uap-d35-mission-report-greece-october-2023.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d35-mission-report-greece-october-2023.pdf,,draft,,note_drafts/ai_summary_044_d35_greece_oct2023_note_version.md,,2026-05-13,,Phase1 PASS(AFSOC英語括弧修正済)。33 SOS・AFSOC・円形UAP 30MPH・海面スレスレ・陸地方向。Misrep 9337873(undefined無し)。
#045,dow-uap-d54-mission-report-mediterranean-sea-na.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,,published,https://note.com/deft_ibis3303/n/n0df6bdc31c49,note_drafts/ai_summary_045_d54_mediterranean_na_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS。限定情報記事。ほぼ全面1.4(a)非公開・513文字のみ。TRIANGULAR AND METALLIC UAP。SECRET//NOFORN。
#046,dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,,published,https://note.com/deft_ibis3303/n/n9539326c0f22,note_drafts/ai_summary_046_d63_hormuz_oct2020_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS。OCR不可・0文字。スキャン画像PDF。ホルムズ海峡2020年10月。
#047,dow-uap-d64-mission-report-iran-november-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d64-mission-report-iran-november-2020.pdf,,published,https://note.com/deft_ibis3303/n/n3e4597464e28,note_drafts/ai_summary_047_d64_iran_nov2020_note_version.md,,2026-05-13,2026-05-13,Phase1 PASS(FL220修正済)。482 ATKS・AREC・NAVCENT支援・UAP 2機・イランガードコール。MDR 26-0028・2026年3月機密解除。
#048,dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,,published,https://note.com/deft_ibis3303/n/n415f94d0e899,note_drafts/ai_summary_048_d65_persian_gulf_jul2020_note_version.md,,2026-05-13,2026-05-14,Phase1 PASS。OCR不可・0文字。スキャン画像PDF。ペルシャ湾2020年7月。
#049,dow-uap-d48-report-september-1996.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf,,published,https://note.com/deft_ibis3303/n/nc43249371a83,note_drafts/ai_summary_049_d48_rocket_failure_1996_note_version.md,,2026-05-13,2026-05-14,Phase1 PASS(AARo修正済)。背景資料。RTI/ロケット失敗確率モデリング・181ページ・1996年。非UAP。
#050,dow-uap-d49-launch-summary-february-2000.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d49-launch-summary-february-2000.pdf,,published,https://note.com/deft_ibis3303/n/nd43f38fa4f46,note_drafts/ai_summary_050_d49_vandenberg_launch_2000_note_version.md,,2026-05-13,2026-05-14,Phase1 PASS。背景資料。30th Space Wing・ヴァンデンバーグ打ち上げ記録集・113ページ・2000年。非UAP。
#051,nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,5d7db3870de8c01a1c39b7e8a4185dd026fe132f01d1cd5ded60f10866722f7e,published,https://note.com/deft_ibis3303/n/n49a48a83d9ed,note_drafts/ai_summary_051_nasa_d5_apollo17_debriefing_1973_note_version.md,,2026-05-13,2026-05-14,背景資料。NASA MSC-07632・アポロ17号科学デブリーフィング・1973年1月8日・UV天文学・銀河観測。OCR部分抽出（4042字・大部分ノイズ）。
#052,nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,49e232c72a77f16f7e06593789a36882d614888d882a74d71eabcc7d2ce94fb6,published,https://note.com/deft_ibis3303/n/nb7601d4447b6,note_drafts/ai_summary_052_nasa_d7_skylab_debriefing_1973_note_version.md,,2026-05-13,2026-05-14,OCR不可・0文字・スキャン画像PDF。NASA スカイラブ技術デブリーフィング・1973年・11ページ。
#053,059uap00011.pdf,https://www.war.gov/medialink/ufo/release_1/059uap00011.pdf,df5874d4b68d17f996da1af0026bf701c627a6e21c244cabf6fd53689369beca,published,https://note.com/deft_ibis3303/n/n8b62161e8157,note_drafts/ai_summary_053_uap00011_moscow_georgia_2001_note_version.md,,2026-05-13,2026-05-14,背景資料。CONFIDENTIAL外交電報・MRN 01 MOSCOW 13169・2001年10月30日・「UFOS OVER GEORGIA」・ロシア外務省がジョージア領空侵犯疑惑にUFOを比喩使用。
#054,059uap00012.pdf,https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf,a289d6a9d8286514343ac3be8a793f0e1d297b400ccc0a417485cba385fd9230,published,https://note.com/deft_ibis3303/n/n7d33452b5348,note_drafts/ai_summary_054_uap00012_ashgabat_ufo_ngo_2004_note_version.md,,2026-05-13,2026-05-14,背景資料。UNCLASSIFIED外交電報・MRN 04 ASHGABAT 1028・2004年11月12日・「TURKMENISTAN, CIVIL SOCIETY AND UFOS」・UFO研究家連合がUSG信頼NGOとして機能。
#055,059uap00013.pdf,https://www.war.gov/medialink/ufo/release_1/059uap00013.pdf,022b27728e86e291e078cac1d4fd5dcf225b2f6700175db9ea8ada19147318d8,published,https://note.com/deft_ibis3303/n/n9952127f8897,note_drafts/ai_summary_055_uap00013_mexico_uap_hearing_2023_note_version.md,,2026-05-13,2026-05-14,背景資料。UNCLASSIFIED外交電報・MRN 23 MEXICO 2544・2023年9月16日・週次政治報告。第11段落にメキシコ議会UAP公聴会（マウサン遺体・グレイヴス証言）記録。
#056,dow-uap-pr20.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-pr20.pdf,1ff8c16256579734969188915ad0e80062e1d5639bc424c6a207340e892c6dc6,published,https://note.com/deft_ibis3303/n/ne4f53ba5ada7,note_drafts/ai_summary_056_pr20_uscentcom_aaro_recommendation_note_version.md,,2026-05-13,2026-05-14,背景資料。USCENTCOM→AARO公開勧告書・MDR 25-0094〜25-0099・MG Harrison署名・2025年10月8日勧告・2026年3月10日承認。#040等D19シリーズの公開承認文書。
#057,38_143685_box7_incident_summaries_1-100.pdf,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,13d1805bd1725b38174a328ddf34db564228163768a9082ddd59bca3780fc10e,published,https://note.com/deft_ibis3303/n/n8455c0df11c2,note_drafts/ai_summary_057_incident_summaries_1_100_note_version.md,,2026-05-13,2026-05-14,OCR不可・0文字・スキャン画像PDF。事案要約集第1〜100号・209ページ・アーカイブ38_143685_box7。
#058,38_143685_box7_incident_summaries_101-172.pdf,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,f4b5cf6a93fe47c09123ce53706e430c814229ed688a49a96244a90b4bcf3e05,published,https://note.com/deft_ibis3303/n/n048a4d4e68d1,note_drafts/ai_summary_058_incident_summaries_101_172_note_version.md,,2026-05-13,2026-05-14,OCR不可・0文字・スキャン画像PDF。事案要約集第101〜172号・178ページ・アーカイブ38_143685_box7。
#059,38_143685_box7_incident_summaries_173-233.pdf,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,1d9722f764878359c73135f82b12608f1267eaf90d274c7d5775ab43bc9a289c,published,https://note.com/deft_ibis3303/n/nc2d547529243,note_drafts/ai_summary_059_incident_summaries_173_233_note_version.md,,2026-05-13,2026-05-14,OCR不可・0文字・スキャン画像PDF。事案要約集第173〜233号・144ページ・アーカイブ38_143685_box7。
#060,serial-4-redacted_redacted.pdf,https://www.war.gov/medialink/ufo/release_1/serial-4-redacted_redacted.pdf,29ed0fb7cbe0be3c23965212bb83c58d3890a0de9253938ee4e9c9bb2349d5fe,published,https://note.com/deft_ibis3303/n/n74eeb93459ba,note_drafts/ai_summary_060_serial4_fbi_uap_witness_2023_note_version.md,,2026-05-13,2026-05-14,限定情報記事。FBI FD-302a・2023年9月・UAP目撃者インタビュー・重度リダクション。施設ゲート付近・ドローン制限空域・目撃後に悪夢・TV障害。
